10101,THE FOUNDATION OF THE UNITED STATES AIR FORCE I ,ASTU,,,Survey course providing an introduction to the United States Air Force and ROTC. Officership and military customs and courtesies are discussed. Foundations of Air Force communication are covered.,2011
10102,THE FOUNDATION OF THE UNITED STATES AIR FORCE II ,ASTU,,,Survey course looks at the origin and organization of the Air Force. Selected topics contributing to an understanding of the Air Force are covered.,2011
10103,LEADERSHIP LABORATORY ,ASTU,,,"An instructional program that prepares an individual to undertake the broad range of technical tasks associated with military leadership and defense management. This course is optional for university academic credit; however, it is mandatory for Air Force ROTC credit for scholarship or commissioning purposes.",2011
10104,LEADERSHIP LABORATORY ,ASTU,,,"An instructional program that prepares an individual to undertake the broad range of technical tasks associated with military leadership and defense management. This course is optional for university academic credit; however, it is mandatory for Air Force ROTC credit for scholarship or commissioning purposes.",2011
20101,EVOLUTION OF UNITED STATES AIR FORCE AIR AND SPACE POWER I ,ASTU,,,Survey course examines air and space power from an historical perspective. Course covers early flight and World War I to the Korean War and ICBMS.,2011
20102,EVOLUTION OF THE UNITED STATES AIR FORCE AIR AND SPACE POWER II ,ASTU,,,Survey course examines air and space power from an historical perspective. Course covers period from the Vietnam War to the Gulf War plus a look at the Air Force of the future.,2011
20103,LEADERSHIP LABORATORY ,ASTU,,,"An instructional program that prepares an individual to undertake the broad range of technical tasks associated with military leadership and defense management. This course is optional for university academic credit; however, it is mandatory for Air Force ROTC credit for scholarship or commissioning purposes.",2011
20104,LEADERSHIP LABORATORY ,ASTU,,,"An instructional program that prepares an individual to undertake the broad range of technical tasks associated with military leadership and defense management. This course is optional for university academic credit; however, it is mandatory for Air Force ROTC credit for scholarship or commissioning purposes.",2011
30101,LEADERSHIP STUDIES I ,ASTU,Permission.,,"Study of leadership, professional knowledge and communication skills required for an air force officer. The role of a leader as supervisor and counselor is discussed.",2011
30102,LEADERSHIP STUDIES II ,ASTU,Permission.,,Study of quality management fundamentals and communication skills for the air force officer. The air force personnel evaluation system and military ethics are discussed.,2011
30103,LEADERSHIP LABORATORY ,ASTU,,,"An instructional program that prepares an individual to undertake the broad range of technical tasks associated with military leadership and defense management. This course is optional for university academic credit; however, it is mandatory for Air Force ROTC credit for scholarship or commissioning purposes.",2011
30104,LEADERSHIP LABORATORY ,ASTU,,,"An instructional program that prepares an individual to undertake the broad range of technical tasks associated with military leadership and defense management. This course is optional for university academic credit; however, it is mandatory for Air Force ROTC credit for scholarship or commissioning purposes.",2011
40101,DEFENSE STUDIES I ,ASTU,Permission.,,"Course examines the political, economic and social constraints upon national security and defense structure. The role of the military including joint operations is discussed. Regional defense issues studies.",2011
40102,DEFENSE STUDIES II ,ASTU,Permission.,,The role of the military and regional defense are studied. Current air force issues and other topics relevant to preparing an air force officer for active duty are covered.,2011
40103,LEADERSHIP LABORATORY ,ASTU,,,"An instructional program that prepares an individual to undertake the broad range of technical tasks associated with military leadership and defense management. This course is optional for university academic credit; however, it is mandatory for Air Force ROTC credit for scholarship or commissioning purposes.",2011
40104,LEADERSHIP LABORATORY ,ASTU,,,"An instructional program that prepares an individual to undertake the broad range of technical tasks associated with military leadership and defense management. This course is optional for university academic credit; however, it is mandatory for Air Force ROTC credit for scholarship or commissioning purposes.",2011
